id,name,number
MEP_001,"Meganium",001
MEP_002,"Inteleon",002
MEP_003,"Alakazam",003
MEP_004,"Lunatone",004
MEP_005,"Drifloon",005
MEP_006,"Drifblim",006
MEP_007,"Psyduck",007
MEP_008,"Golduck",008
MEP_009,"Alakazam",009
MEP_010,"Riolu",010
MEP_011,"Mega Latias ex",011
MEP_012,"Mega Lucario ex",012
MEP_013,"Mega Venusaur ex",013
MEP_014,"Ceruledge",014
MEP_015,"Zacian",015
MEP_016,"Flygon",016
MEP_017,"Toxtricity",017
MEP_018,"Cottonee",018
MEP_019,"Whimsicott",019
MEP_020,"Sneasel",020
MEP_021,"Weavile",021
MEP_022,"Charcadet",022
MEP_023,"Mega Charizard X ex",023
MEP_024,"Oricorio ex",024
MEP_025,"Mega Kangaskhan ex",025
MEP_026,"Meloetta",026
MEP_027,"Haunter",027
MEP_028,"Fanfarra de Celebração",028
MEP_029,"Mega Charizard X ex",029
MEP_030,"Mega Charizard Y ex",030
MEP_031,"Zekrom do N",031
