id,name,number
PFL_001,"Oddish",001
PFL_002,"Gloom",002
PFL_003,"Vileplume",003
PFL_004,"Mega Heracross ex",004
PFL_005,"Lotad",005
PFL_006,"Lombre",006
PFL_007,"Ludicolo",007
PFL_008,"Genesect",008
PFL_009,"Nymble",009
PFL_010,"Lokix",010
PFL_011,"Charmander",011
PFL_012,"Charmeleon",012
PFL_013,"Mega Charizard X ex",013
PFL_014,"Moltres",014
PFL_015,"Darumaka",015
PFL_016,"Darmanitan",016
PFL_017,"Reshiram",017
PFL_018,"Oricorio ex",018
PFL_019,"Charcadet",019
PFL_020,"Ceruledge",020
PFL_021,"Seel",021
PFL_022,"Dewgong",022
PFL_023,"Swinub",023
PFL_024,"Piloswine",024
PFL_025,"Mamoswine",025
PFL_026,"Suicune",026
PFL_027,"Piplup",027
PFL_028,"Prinplup",028
PFL_029,"Rotom ex",029
PFL_030,"Yamper",030
PFL_031,"Boltund",031
PFL_032,"Pawmi",032
PFL_033,"Pawmo",033
PFL_034,"Pawmot",034
PFL_035,"Misdreavus",035
PFL_036,"Mismagius ex",036
PFL_037,"Snubbull",037
PFL_038,"Granbull",038
PFL_039,"Cresselia",039
PFL_040,"Meloetta",040
PFL_041,"Mega Diancie ex",041
PFL_042,"Mimikyu",042
PFL_043,"Milcery",043
PFL_044,"Alcremie",044
PFL_045,"Zacian",045
PFL_046,"Bramblin",046
PFL_047,"Brambleghast",047
PFL_048,"Tauros de Paldea",048
PFL_049,"Gligar",049
PFL_050,"Gliscor",050
PFL_051,"Trapinch",051
PFL_052,"Vibrava",052
PFL_053,"Flygon",053
PFL_054,"Gastly",054
PFL_055,"Haunter",055
PFL_056,"Mega Gengar ex",056
PFL_057,"Murkrow",057
PFL_058,"Honchkrow",058
PFL_059,"Sableye",059
PFL_060,"Carvanha",060
PFL_061,"Mega Sharpedo ex",061
PFL_062,"Seviper",062
PFL_063,"Absol",063
PFL_064,"Sandile",064
PFL_065,"Krokorok",065
PFL_066,"Krookodile",066
PFL_067,"Toxel",067
PFL_068,"Toxtricity",068
PFL_069,"Eternatus",069
PFL_070,"Empoleon ex",070
PFL_071,"Bronzor",071
PFL_072,"Bronzong",072
PFL_073,"Togedemaru",073
PFL_074,"Duraludon",074
PFL_075,"Archaludon",075
PFL_076,"Jigglypuff",076
PFL_077,"Wigglytuff",077
PFL_078,"Aipom",078
PFL_079,"Ambipom",079
PFL_080,"Smeargle",080
PFL_081,"Zigzagoon",081
PFL_082,"Linoone",082
PFL_083,"Buneary",083
PFL_084,"Mega Lopunny ex",084
PFL_085,"Jaula de Batalha",085
PFL_086,"Maçarico",086
PFL_087,"Dawn",087
PFL_088,"Vale Vertiginoso",088
PFL_089,"Cuspidor de Fogo",089
PFL_090,"Artimanha do Funesto",090
PFL_091,"Sorvetão Jumbo",091
PFL_092,"Capacete Punk",092
PFL_093,"Pingente Sagrado",093
PFL_094,"Fragmento Encantado",094
PFL_095,"Ludicolo",095
PFL_096,"Nymble",096
PFL_097,"Dewgong",097
PFL_098,"Piplup",098
PFL_099,"Yamper",099
PFL_100,"Zacian",100
PFL_101,"Flygon",101
PFL_102,"Wooper de Paldea",102
PFL_103,"Toxtricity",103
PFL_104,"Togedemaru",104
PFL_105,"Wigglytuff",105
PFL_106,"Meowth",106
PFL_107,"Ambipom",107
PFL_108,"Mega Heracross ex",108
PFL_109,"Mega Charizard X ex",109
PFL_110,"Oricorio ex",110
PFL_111,"Rotom ex",111
PFL_112,"Mismagius ex",112
PFL_113,"Mega Sharpedo ex",113
PFL_114,"Empoleon ex",114
PFL_115,"Mega Lopunny ex",115
PFL_116,"Jaula de Batalha",116
PFL_117,"Maçarico",117
PFL_118,"Dawn",118
PFL_119,"Cuspidor de Fogo",119
PFL_120,"Artimanha do Funesto",120
PFL_121,"Capacete Punk",121
PFL_122,"Pingente Sagrado",122
PFL_123,"Substituição",123
PFL_124,"Energia de Ignição",124
PFL_125,"Mega Charizard X ex",125
PFL_126,"Rotom ex",126
PFL_127,"Mega Sharpedo ex",127
PFL_128,"Mega Lopunny ex",128
PFL_129,"Dawn",129
PFL_130,"Mega Charizard X ex",130
