id,name,number
POR_001,"Spinarak",001
POR_002,"Ariados",002
POR_003,"Shaymin",003
POR_004,"Snivy",004
POR_005,"Servine",005
POR_006,"Serperior",006
POR_007,"Scatterbug",007
POR_008,"Spewpa",008
POR_009,"Vivillon",009
POR_010,"Rowlet",010
POR_011,"Dartrix",011
POR_012,"Decidueye ex",012
POR_013,"Fletchinder",013
POR_014,"Talonflame",014
POR_015,"Salandit",015
POR_016,"Salazzle ex",016
POR_017,"Turtonator",017
POR_018,"Seel",018
POR_019,"Dewgong",019
POR_020,"Staryu",020
POR_021,"Mega Starmie ex",021
POR_022,"Lapras ex",022
POR_023,"Amaura",023
POR_024,"Aurorus",024
POR_025,"Volcanion",025
POR_026,"Shinx",026
POR_027,"Luxio",027
POR_028,"Luxray",028
POR_029,"Dedenne",029
POR_030,"Clefairy",030
POR_031,"Mega Clefable ex",031
POR_032,"Mawile",032
POR_033,"Espurr",033
POR_034,"Meowstic",034
POR_035,"Spritzee",035
POR_036,"Aromatisse",036
POR_037,"Nosepass",037
POR_038,"Probopass",038
POR_039,"Hippopotas",039
POR_040,"Hippowdon",040
POR_041,"Landorus",041
POR_042,"Binacle",042
POR_043,"Barbaracle",043
POR_044,"Tyrunt",044
POR_045,"Tyrantrum",045
POR_046,"Hawlucha",046
POR_047,"Mega Zygarde ex",047
POR_048,"Gastly",048
POR_049,"Haunter",049
POR_050,"Gengar",050
POR_051,"Skorupi",051
POR_052,"Drapion",052
POR_053,"Yveltal ex",053
POR_054,"Chien-Pao",054
POR_055,"Mega Skarmory ex",055
POR_056,"Honedge",056
POR_057,"Doublade",057
POR_058,"Aegislash",058
POR_059,"Klefki",059
POR_060,"Rattata",060
POR_061,"Raticate",061
POR_062,"Meowth ex",062
POR_063,"Snorlax",063
POR_064,"Bunnelby",064
POR_065,"Diggersby",065
POR_066,"Fletchling",066
POR_067,"Furfrou",067
POR_068,"Fóssil de Mandíbula Arcaico",068
POR_069,"Fóssil de Vela Arcaico",069
POR_070,"Núcleo de Memória",070
POR_071,"Martelo Esmagador",071
POR_072,"Busca de Energia",072
POR_073,"Mata-Energia",073
POR_074,"Pá de Cavar",074
POR_075,"Jaci",075
POR_076,"Juiz",076
POR_077,"Cidade de Lumiose",077
POR_078,"Crepe de Lumiose",078
POR_079,"Naveen",079
POR_080,"Poké Bola",080
POR_081,"Poké Tablet",081
POR_082,"Pegador de Pokémon",082
POR_083,"Poção",083
POR_084,"Encorajamento da Rose",084
POR_085,"Tarragon",085
POR_086,"Energia Grama Crescente",086
POR_087,"Energia Luta Rochosa",087
POR_088,"Energia Psíquico Telepática",088
POR_089,"Spewpa",089
POR_090,"Rowlet",090
POR_091,"Talonflame",091
POR_092,"Aurorus",092
POR_093,"Dedenne",093
POR_094,"Clefairy",094
POR_095,"Espurr",095
POR_096,"Probopass",096
POR_097,"Drapion",097
POR_098,"Doublade",098
POR_099,"Raticate",099
POR_100,"Decidueye ex",100
POR_101,"Salazzle ex",101
POR_102,"Mega Starmie ex",102
POR_103,"Mega Clefable ex",103
POR_104,"Mega Zygarde ex",104
POR_105,"Yveltal ex",105
POR_106,"Mega Skarmory ex",106
POR_107,"Meowth ex",107
POR_108,"Reciclador de Energia",108
POR_109,"Floresta da Vitalidade",109
POR_110,"Jaci",110
POR_111,"Cidade de Lumiose",111
POR_112,"Naveen",112
POR_113,"Poké Tablet",113
POR_114,"Encorajamento da Rose",114
POR_115,"Cinza Sagrada",115
POR_116,"Tarragon",116
POR_117,"Fragmento Encantado",117
POR_118,"Mega Starmie ex",118
POR_119,"Mega Clefable ex",119
POR_120,"Mega Zygarde ex",120
POR_121,"Meowth ex",121
POR_122,"Jaci",122
POR_123,"Encorajamento da Rose",123
POR_124,"Mega Zygarde ex",124
