id,name,number
SCR_001,"Venusaur ex",001
SCR_002,"Ledyba",002
SCR_003,"Ledian",003
SCR_004,"Celebi",004
SCR_005,"Lileep",005
SCR_006,"Cradily",006
SCR_007,"Carnivine",007
SCR_008,"Rotom Corte",008
SCR_009,"Grubbin",009
SCR_010,"Gossifleur",010
SCR_011,"Eldegoss",011
SCR_012,"Applin",012
SCR_013,"Dipplin",013
SCR_014,"Hydrapple ex",014
SCR_015,"Nymble",015
SCR_016,"Lokix",016
SCR_017,"Toedscool",017
SCR_018,"Toedscruel",018
SCR_019,"Ponyta",019
SCR_020,"Rapidash",020
SCR_021,"Pansear",021
SCR_022,"Reshiram",022
SCR_023,"Salandit",023
SCR_024,"Salazzle",024
SCR_025,"Turtonator",025
SCR_026,"Scorbunny",026
SCR_027,"Raboot",027
SCR_028,"Cinderace ex",028
SCR_029,"Charcadet",029
SCR_030,"Blastoise ex",030
SCR_031,"Lapras",031
SCR_032,"Lapras ex",032
SCR_033,"Marill",033
SCR_034,"Azumarill",034
SCR_035,"Finneon",035
SCR_036,"Lumineon",036
SCR_037,"Tirtouga",037
SCR_038,"Carracosta",038
SCR_039,"Froakie",039
SCR_040,"Frogadier",040
SCR_041,"Greninja ex",041
SCR_042,"Crabominable",042
SCR_043,"Chewtle",043
SCR_044,"Drednaw",044
SCR_045,"Veluza",045
SCR_046,"Electabuzz",046
SCR_047,"Electivire",047
SCR_048,"Chinchou",048
SCR_049,"Lanturn",049
SCR_050,"Joltik",050
SCR_051,"Galvantula ex",051
SCR_052,"Charjabug",052
SCR_053,"Vikavolt",053
SCR_054,"Togedemaru",054
SCR_055,"Zeraora",055
SCR_056,"Pawmi",056
SCR_057,"Slowpoke",057
SCR_058,"Slowking",058
SCR_059,"Mewtwo",059
SCR_060,"Drifloon",060
SCR_061,"Drifblim",061
SCR_062,"Yamask",062
SCR_063,"Comfey",063
SCR_064,"Milcery",064
SCR_065,"Alcremie",065
SCR_066,"Fidough",066
SCR_067,"Dachsbun ex",067
SCR_068,"Flittle",068
SCR_069,"Espathra",069
SCR_070,"Greavard",070
SCR_071,"Rocha Férrea",071
SCR_072,"Cubone",072
SCR_073,"Marowak",073
SCR_074,"Rhyhorn",074
SCR_075,"Rhydon",075
SCR_076,"Rhyperior",076
SCR_077,"Meditite",077
SCR_078,"Meditite",078
SCR_079,"Medicham",079
SCR_080,"Medicham ex",080
SCR_081,"Riolu",081
SCR_082,"Lucario ex",082
SCR_083,"Mienfoo",083
SCR_084,"Mienshao",084
SCR_085,"Pancham",085
SCR_086,"Diancie",086
SCR_087,"Crabrawler",087
SCR_088,"Falinks",088
SCR_089,"Garganacl ex",089
SCR_090,"Koraidon",090
SCR_091,"Gulpin",091
SCR_092,"Swalot",092
SCR_093,"Pangoro",093
SCR_094,"Impidimp",094
SCR_095,"Morgrem",095
SCR_096,"Grimmsnarl",096
SCR_097,"Bombirdier",097
SCR_098,"Jirachi",098
SCR_099,"Klink",099
SCR_100,"Klang",100
SCR_101,"Klinklang",101
SCR_102,"Meltan",102
SCR_103,"Meltan",103
SCR_104,"Melmetal",104
SCR_105,"Melmetal ex",105
SCR_106,"Duraludon",106
SCR_107,"Archaludon",107
SCR_108,"Varoom",108
SCR_109,"Revavroom",109
SCR_110,"Orthworm ex",110
SCR_111,"Raio Fúria",111
SCR_112,"Tauros",112
SCR_113,"Eevee",113
SCR_114,"Hoothoot",114
SCR_115,"Noctowl",115
SCR_116,"Glameow",116
SCR_117,"Purugly",117
SCR_118,"Rotom Ventilador",118
SCR_119,"Bouffalant",119
SCR_120,"Tornadus",120
SCR_121,"Fletchling",121
SCR_122,"Fletchinder",122
SCR_123,"Talonflame",123
SCR_124,"Wooloo",124
SCR_125,"Dubwool",125
SCR_126,"Lechonk",126
SCR_127,"Cyclizar",127
SCR_128,"Terapagos ex",128
SCR_129,"Fóssil Casca Arcaico",129
SCR_130,"Fóssil Raiz Arcaico",130
SCR_131,"Abismo da Área Zero",131
SCR_132,"Urzy",132
SCR_133,"Plínio",133
SCR_134,"Bomba Deluxe",134
SCR_135,"Trompete de Vidro",135
SCR_136,"Árvore Grandiosa",136
SCR_137,"Gema da Gravidade",137
SCR_138,"Álgaro",138
SCR_139,"Tarsila",139
SCR_140,"Fruta Cau",140
SCR_141,"Fruta Paiapa",141
SCR_142,"Cristal Cintilante",142
SCR_143,"Bulbasaur",143
SCR_148,"Squirtle",148
SCR_175,"Pingente de Bravura",175
