id,name,number
SFA_001,"Joltik",001
SFA_002,"Galvantula",002
SFA_003,"Rowlet",003
SFA_004,"Dartrix",004
SFA_005,"Decidueye",005
SFA_006,"Tapu Bulu",006
SFA_007,"Houndour",007
SFA_008,"Houndoom",008
SFA_009,"Mariposa Férrea",009
SFA_010,"Horsea",010
SFA_011,"Seadra",011
SFA_012,"Kingdra ex",012
SFA_013,"Sneasel",013
SFA_014,"Weavile",014
SFA_015,"Revavroom ex",015
SFA_016,"Drowzee",016
SFA_017,"Hypno",017
SFA_018,"Duskull",018
SFA_019,"Dusclops",019
SFA_020,"Dusknoir",020
SFA_021,"Cresselia",021
SFA_022,"Sylveon",022
SFA_023,"Croagunk",023
SFA_024,"Toxicroak",024
SFA_025,"Ursaluna Lua Sangrenta",025
SFA_026,"Asa Rasteira",026
SFA_027,"Zubat",027
SFA_028,"Golbat",028
SFA_029,"Crobat",029
SFA_030,"Absol",030
SFA_031,"Zorua",031
SFA_032,"Zoroark",032
SFA_033,"Inkay",033
SFA_034,"Malamar",034
SFA_035,"Yveltal",035
SFA_036,"Okidogi ex",036
SFA_037,"Munkidori ex",037
SFA_038,"Fezandipiti ex",038
SFA_039,"Pecharunt ex",039
SFA_040,"Genesect",040
SFA_041,"Cufant",041
SFA_042,"Copperajah",042
SFA_043,"Varoom",043
SFA_044,"Axew",044
SFA_045,"Fraxure",045
SFA_046,"Haxorus",046
SFA_047,"Kyurem",047
SFA_048,"Meowth",048
SFA_049,"Persian",049
SFA_050,"Eevee",050
SFA_051,"Furfrou",051
SFA_052,"Stufful",052
SFA_053,"Bewear",053
SFA_054,"Academia à Noite",054
SFA_055,"Moti Vinculante",055
SFA_056,"Cassiopeia",056
SFA_057,"Tenacidade do Colress",057
SFA_058,"Laser Perigoso",058
SFA_059,"Dom Secreto da Janine",059
SFA_060,"Zona de Neutralização",060
SFA_061,"Maca Noturna",061
SFA_062,"Poké Vital A",062
SFA_063,"Ampulheta Poderosa",063
SFA_064,"Tramoias do Xerosic",064
SFA_072,"Munkidori",072
SFA_073,"Fezandipiti",073
SFA_074,"Okidogi",074
SFA_096,"Recipiente Terrestre",096
SFA_098,"Energia Escuridão",098
SFA_099,"Energia Metal",099
