id,name,number
SSP_001,"Exeggcute",001
SSP_002,"Exeggcute",002
SSP_003,"Exeggutor",003
SSP_004,"Durant ex",004
SSP_005,"Scatterbug",005
SSP_006,"Spewpa",006
SSP_007,"Vivillon",007
SSP_008,"Morelull",008
SSP_009,"Shiinotic",009
SSP_010,"Dhelmise",010
SSP_011,"Zarude",011
SSP_012,"Capsakid",012
SSP_013,"Rellor",013
SSP_014,"Rabsca",014
SSP_015,"Wo-Chien",015
SSP_016,"Vulpix",016
SSP_017,"Ninetales",017
SSP_018,"Tauros de Paldea",018
SSP_019,"Ho-Oh",019
SSP_020,"Castform Forma Ensolarada",020
SSP_021,"Victini",021
SSP_022,"Pansear",022
SSP_023,"Simisear",023
SSP_024,"Larvesta",024
SSP_025,"Volcarona",025
SSP_026,"Oricorio",026
SSP_027,"Sizzlipede",027
SSP_028,"Centiskorch",028
SSP_029,"Fuecoco",029
SSP_030,"Crocalor",030
SSP_031,"Skeledirge",031
SSP_032,"Charcadet",032
SSP_033,"Charcadet",033
SSP_034,"Armarouge",034
SSP_035,"Ceruledge",035
SSP_036,"Ceruledge ex",036
SSP_037,"Scovillain ex",037
SSP_038,"Fogo Corrosão",038
SSP_039,"Tauros de Paldea",039
SSP_040,"Mantine",040
SSP_041,"Feebas",041
SSP_042,"Milotic ex",042
SSP_043,"Spheal",043
SSP_044,"Sealeo",044
SSP_045,"Walrein",045
SSP_046,"Shellos",046
SSP_047,"Cryogonal",047
SSP_048,"Kyurem Preto ex",048
SSP_049,"Bruxish",049
SSP_050,"Quaxly",050
SSP_051,"Quaxwell",051
SSP_052,"Quaquaval",052
SSP_053,"Cetoddle",053
SSP_054,"Cetitan",054
SSP_055,"Pacote Férreo",055
SSP_056,"Chien-Pao",056
SSP_057,"Pikachu ex",057
SSP_058,"Magnemite",058
SSP_059,"Magneton",059
SSP_060,"Magnezone",060
SSP_061,"Rotom",061
SSP_062,"Blitzle",062
SSP_063,"Zebstrika",063
