id,name,number
TEF_001,"Scyther",001
TEF_002,"Pineco",002
TEF_003,"Seedot",003
TEF_004,"Nuzleaf",004
TEF_005,"Shiftry",005
TEF_006,"Shroomish",006
TEF_007,"Breloom",007
TEF_008,"Roselia",008
TEF_009,"Roserade",009
TEF_010,"Turtwig",010
TEF_011,"Grotle",011
TEF_012,"Torterra ex",012
TEF_013,"Shaymin",013
TEF_014,"Cottonee",014
TEF_015,"Whimsicott",015
TEF_016,"Deerling",016
TEF_017,"Sawsbuck",017
TEF_018,"Grubbin",018
TEF_019,"Dhelmise",019
TEF_020,"Bramblin",020
TEF_021,"Brambleghast",021
TEF_022,"Scovillain ex",022
TEF_023,"Rellor",023
TEF_024,"Rabsca",024
TEF_025,"Folhas Férreas ex",025
TEF_026,"Ponyta",026
TEF_027,"Rapidash",027
TEF_028,"Slugma",028
TEF_029,"Magcargo",029
TEF_030,"Victini",030
TEF_031,"Heatmor",031
TEF_032,"Litten",032
TEF_033,"Torracat",033
TEF_034,"Incineroar ex",034
TEF_035,"Turtonator",035
TEF_036,"Sizzlipede",036
TEF_037,"Centiskorch",037
TEF_038,"Fogo Corrosão ex",038
TEF_039,"Totodile",039
TEF_040,"Croconaw",040
TEF_041,"Feraligatr",041
TEF_042,"Carvanha",042
TEF_043,"Sharpedo",043
TEF_044,"Keldeo",044
TEF_045,"Snom",045
TEF_046,"Frosmoth",046
TEF_047,"Wiglett",047
TEF_048,"Finizen",048
TEF_049,"Palafin",049
TEF_050,"Onda Ando ex",050
TEF_051,"Pikachu",051
TEF_052,"Raichu",052
TEF_053,"Electabuzz",053
TEF_054,"Electivire",054
TEF_055,"Charjabug",055
TEF_056,"Vikavolt",056
TEF_057,"Zeraora",057
TEF_058,"Yamper",058
TEF_059,"Boltund",059
TEF_060,"Wugtrio ex",060
TEF_061,"Mãos Férreas",061
TEF_062,"Espinhos Férreos",062
TEF_063,"Mr. Mime",063
TEF_064,"Marill",064
TEF_065,"Azumarill",065
TEF_066,"Girafarig",066
TEF_067,"Latias",067
TEF_068,"Bronzor",068
TEF_069,"Bronzong",069
TEF_070,"Solosis",070
TEF_071,"Duosion",071
TEF_072,"Reuniclus",072
TEF_073,"Elgyem",073
TEF_074,"Beheeyem",074
TEF_075,"Cutiefly",075
TEF_076,"Ribombee",076
TEF_077,"Cauda Brado",077
TEF_078,"Juba Sopro",078
TEF_079,"Valentia Férrea",079
TEF_080,"Valentia Férrea",080
TEF_081,"Chifres Férreos ex",081
TEF_082,"Meditite",082
TEF_083,"Medicham",083
TEF_084,"Relicanth",084
TEF_085,"Drilbur",085
TEF_086,"Excadrill",086
TEF_087,"Golett",087
TEF_088,"Golurk",088
TEF_089,"Rockruff",089
TEF_090,"Lycanroc",090
TEF_091,"Mudbray",091
TEF_092,"Mudsdale",092
TEF_093,"Rolycoly",093
TEF_094,"Carkol",094
TEF_095,"Coalossal",095
TEF_096,"Presa Grande",096
TEF_097,"Presa Grande",097
TEF_098,"Choque Areia",098
TEF_099,"Rocha Férrea ex",099
TEF_100,"Ekans",100
TEF_101,"Arbok",101
TEF_102,"Gastly",102
TEF_103,"Haunter",103
TEF_104,"Gengar ex",104
TEF_105,"Poochyena",105
TEF_106,"Mightyena",106
TEF_107,"Sableye",107
TEF_108,"Farigiraf ex",108
TEF_109,"Lua Estrondo",109
TEF_110,"Forretress",110
TEF_111,"Scizor ex",111
TEF_112,"Mawile",112
TEF_113,"Beldum",113
TEF_114,"Metang",114
TEF_115,"Metagross",115
TEF_116,"Meltan",116
TEF_117,"Melmetal",117
TEF_118,"Trilho Férreo",118
TEF_119,"Koraidon",119
TEF_120,"Koraidon ex",120
TEF_121,"Miraidon",121
TEF_122,"Miraidon ex",122
TEF_123,"Raio Fúria ex",123
TEF_124,"Lickitung",124
TEF_125,"Lickilicky",125
TEF_126,"Hoothoot",126
TEF_127,"Noctowl",127
TEF_128,"Dunsparce",128
TEF_129,"Dudunsparce",129
TEF_130,"Skitty",130
TEF_131,"Delcatty",131
TEF_132,"Chatot",132
TEF_133,"Pidove",133
TEF_134,"Tranquill",134
TEF_135,"Unfezant",135
TEF_136,"Minccino",136
TEF_137,"Cinccino",137
TEF_138,"Drampa",138
TEF_139,"Jugulares Férreas",139
TEF_140,"Cápsula Energética de Melhoria Ancestral",140
TEF_141,"Tambor do Despertar",141
TEF_142,"Dedicação da Bianca",142
TEF_143,"Pedido Encaixotado",143
TEF_144,"Poffin de Colega",144
TEF_145,"Decodificação da Criptomaníaca",145
TEF_146,"Êri",146
TEF_147,"Liderança do Explorador",147
TEF_148,"Laboratório Metálico",148
TEF_149,"Cápsula Energética de Melhoria Futurista",149
TEF_150,"Aparador de Mão",150
TEF_151,"Bastão Pesado",151
TEF_152,"Capa de Herói",152
TEF_153,"Bola Mestra",153
TEF_154,"Cinturão Máximo",154
TEF_155,"Convicção do Morty",155
TEF_156,"Selva Perigosa",156
TEF_157,"Pegador Superior",157
TEF_158,"Cápsula do Reinício",158
TEF_159,"Skate de Resgate",159
TEF_160,"Salvatore",160
TEF_161,"Energia Nebulosa",161
TEF_162,"Energia Neossuperior",162
