id,name,number
TWM_001,"Tangela",001
TWM_002,"Tangrowth",002
TWM_003,"Pinsir",003
TWM_004,"Spinarak",004
TWM_005,"Ariados",005
TWM_006,"Sunkern",006
TWM_007,"Sunflora",007
TWM_008,"Heracross",008
TWM_009,"Volbeat",009
TWM_010,"Illumise",010
TWM_011,"Leafeon",011
TWM_012,"Phantump",012
TWM_013,"Trevenant",013
TWM_014,"Grookey",014
TWM_015,"Thwackey",015
TWM_016,"Rillaboom",016
TWM_017,"Applin",017
TWM_018,"Dipplin",018
TWM_019,"Folhas Férreas",019
TWM_020,"Poltchageist",020
TWM_021,"Poltchageist",021
TWM_022,"Sinistcha",022
TWM_023,"Sinistcha ex",023
TWM_024,"Ogerpon Máscara Turquesa",024
TWM_025,"Ogerpon Máscara Turquesa ex",025
TWM_026,"Vulpix",026
TWM_027,"Ninetales",027
TWM_028,"Slugma",028
TWM_029,"Magcargo ex",029
TWM_030,"Torkoal",030
TWM_031,"Chimchar",031
TWM_032,"Monferno",032
TWM_033,"Infernape",033
TWM_034,"Darumaka",034
TWM_035,"Darmanitan",035
TWM_036,"Litwick",036
TWM_037,"Lampent",037
TWM_038,"Chandelure",038
TWM_039,"Chi-Yu",039
TWM_040,"Ogerpon Máscara Fornalha ex",040
TWM_041,"Poliwag",041
TWM_042,"Poliwhirl",042
TWM_043,"Poliwrath",043
TWM_044,"Goldeen",044
TWM_045,"Seaking",045
TWM_046,"Jynx",046
TWM_047,"Corphish",047
TWM_048,"Crawdaunt",048
TWM_049,"Feebas",049
TWM_050,"Milotic",050
TWM_051,"Snorunt",051
TWM_052,"Glalie",052
TWM_053,"Froslass",053
TWM_054,"Glaceon",054
TWM_055,"Phione",055
TWM_056,"Froakie",056
TWM_057,"Frogadier",057
TWM_058,"Cramorant",058
TWM_059,"Finizen",059
TWM_060,"Palafin",060
TWM_061,"Palafin ex",061
TWM_062,"Pacote Férreo",062
TWM_063,"Onda Ando",063
TWM_064,"Ogerpon Máscara Nascente ex",064
TWM_065,"Zapdos",065
TWM_066,"Shinx",066
TWM_067,"Luxio",067
TWM_068,"Luxray ex",068
TWM_069,"Emolga",069
TWM_070,"Helioptile",070
TWM_071,"Heliolisk",071
TWM_072,"Morpeko",072
TWM_073,"Tadbulb",073
TWM_074,"Bellibolt",074
TWM_075,"Wattrel",075
TWM_076,"Kilowattrel",076
TWM_077,"Espinhos Férreos ex",077
TWM_078,"Clefairy",078
TWM_079,"Clefable",079
TWM_080,"Abra",080
TWM_081,"Kadabra",081
TWM_082,"Alakazam",082
TWM_083,"Girafarig",083
TWM_084,"Farigiraf",084
TWM_085,"Chimecho",085
TWM_086,"Flabébé",086
TWM_087,"Floette",087
TWM_088,"Florges",088
TWM_089,"Swirlix",089
TWM_090,"Slurpuff",090
TWM_091,"Sandygast",091
TWM_092,"Palossand",092
TWM_093,"Enamorus",093
TWM_094,"Cauda Brado ex",094
TWM_095,"Munkidori",095
TWM_096,"Fezandipiti",096
TWM_097,"Sandshrew",097
TWM_098,"Sandslash",098
TWM_099,"Growlithe de Hisui",099
TWM_100,"Arcanine de Hisui",100
TWM_101,"Nosepass",101
TWM_102,"Probopass",102
TWM_103,"Timburr",103
TWM_104,"Gurdurr",104
TWM_105,"Conkeldurr",105
TWM_106,"Greninja ex",106
TWM_107,"Hawlucha",107
TWM_108,"Glimmet",108
TWM_109,"Glimmora",109
TWM_110,"Ting-Lu",110
TWM_111,"Okidogi",111
TWM_112,"Ogerpon Máscara Alicerce ex",112
TWM_113,"Poochyena",113
TWM_114,"Mightyena",114
TWM_115,"Venipede",115
TWM_116,"Whirlipede",116
TWM_117,"Scolipede",117
TWM_118,"Capuz Bruto",118
TWM_119,"Skarmory",119
TWM_120,"Aron",120
TWM_121,"Lairon",121
TWM_122,"Aggron",122
TWM_123,"Heatran",123
TWM_124,"Varoom",124
TWM_125,"Revavroom",125
TWM_126,"Applin",126
TWM_127,"Dipplin",127
TWM_128,"Dreepy",128
TWM_129,"Drakloak",129
TWM_130,"Dragapult ex",130
TWM_131,"Tatsugiri",131
TWM_132,"Farfetch'd",132
TWM_133,"Chansey",133
TWM_134,"Blissey ex",134
TWM_135,"Eevee",135
TWM_136,"Snorlax",136
TWM_137,"Aipom",137
TWM_138,"Ambipom",138
TWM_139,"Ducklett",139
TWM_140,"Swanna",140
TWM_141,"Ursaluna Lua Sangrenta ex",141
TWM_142,"Flauta de Acompanhamento",142
TWM_143,"Kit Caça-inseto",143
TWM_144,"Zelador",144
TWM_145,"Carmine",145
TWM_146,"Centro Comunitário",146
TWM_147,"Chef",147
TWM_148,"Martelo Avançado",148
TWM_149,"Praça de Festas",149
TWM_150,"Ventilador Portátil",150
TWM_151,"Oranzo",151
TWM_152,"Hiperaroma",152
TWM_153,"Torre de Interferência",153
TWM_154,"Kiran",154
TWM_155,"Ajuda da Vitória",155
TWM_156,"Bola Amor",156
TWM_157,"Lucian",157
TWM_158,"Capacete da Sorte",158
TWM_159,"Máscara do Ogro",159
TWM_160,"Drita",160
TWM_161,"Moira",161
TWM_162,"Recolhida Ciclone",162
TWM_163,"Caixa Secreta",163
TWM_164,"Cinta de Sobrevivência",164
TWM_165,"Carimbo da Injustiça",165
TWM_166,"Energia Bumerangue",166
TWM_167,"Energia Legado",167
TWM_223,"Poffin de Colega",223
TWM_225,"Skate de Resgate",225
TWM_226,"Energia Luminosa",226
